,name,company,year,Price,kms_driven,fuel_type
76,Cooper S,Mini,2013,1891111,13500,Petrol
77,Scorpio S4,Mahindra,2015,865000,30000,Diesel
78,Scorpio VLX,Mahindra,2014,699000,50000,Diesel
79,Quanto C8,Mahindra,2013,375000,20000,Diesel
80,EcoSport,Ford,2017,489999,39000,Petrol
81,Brio,Honda,2012,224999,30000,Petrol
82,Vento Highline,Volkswagen,2019,1200000,3600,Diesel
83,i20 Magna,Hyundai,2009,195000,32000,Petrol
84,Corolla Altis,Toyota,2010,351000,38000,Diesel
85,Verna Transform,Hyundai,2008,160000,45000,Petrol
86,Corolla Altis,Toyota,2009,240000,35000,Petrol
87,City 1.5,Honda,2005,90000,50000,Petrol
88,Elite i20,Hyundai,2014,415000,32000,Petrol
89,Fabia 1.2L,Skoda,2011,155000,45863,Diesel
90,3 Series,BMW,2011,600000,60500,Petrol
91,Suzuki A,Maruti,2011,189500,12500,Petrol
92,Etios GD,Toyota,2013,350000,60000,Diesel
93,Figo Diesel,Ford,2012,210000,35000,Diesel
94,Suzuki Swift,Maruti,2014,390000,35000,Petrol
95,Beat LT,Chevrolet,2012,135000,45000,Diesel
96,7 Series,BMW,2009,1600000,35000,Petrol
97,XUV500 W8,Mahindra,2013,701000,38000,Diesel
98,i10 Magna,Hyundai,2014,265000,18000,Petrol
99,Verna Fluidic,Hyundai,2015,525000,35000,Diesel
100,Suzuki Swift,Maruti,2013,372000,13349,Petrol
101,Suzuki Ertiga,Maruti,2016,635000,29000,Petrol
102,EcoSport Titanium,Ford,2014,550000,44000,Diesel
103,Suzuki Ertiga,Maruti,2016,575000,29000,Petrol
104,Suzuki Ertiga,Maruti,2013,485000,42000,Diesel
105,Suzuki Alto,Maruti,2012,155000,14000,Petrol
106,Grand i10,Hyundai,2014,345000,49000,Diesel
107,Amaze 1.2,Honda,2014,325000,42000,Petrol
108,i20 Asta,Hyundai,2012,329500,36200,Diesel
109,Figo Diesel,Ford,2014,195000,50000,Diesel
110,Suzuki Eeco,Maruti,2015,251111,55000,Petrol
111,Suzuki Ertiga,Maruti,2014,569999,45000,Petrol
112,Suzuki Esteem,Maruti,2007,69999,51000,Petrol
113,Suzuki Ritz,Maruti,2014,299999,19000,Petrol
114,Suzuki Dzire,Maruti,2009,220000,46000,Petrol
115,Suzuki Ritz,Maruti,2013,399999,33000,Diesel
116,Suzuki Swift,Maruti,2013,372000,13349,Petrol
117,Suzuki Dzire,Maruti,2015,450000,104000,Diesel
118,Etios Liva,Toyota,2014,270000,55000,Petrol
119,i20 Sportz,Hyundai,2011,350000,33333,Diesel
120,Spark,Chevrolet,2012,158400,33600,Petrol
121,Suzuki Alto,Maruti,2017,350000,5600,Petrol
122,Micra XV,Nissan,2011,179000,41000,Petrol
123,Suzuki Swift,Maruti,2007,125000,70000,Petrol
124,Suzuki Alto,Maruti,2018,200000,7500,Petrol
125,Amaze 1.5,Honda,2013,299000,45000,Diesel
126,Suzuki Alto,Maruti,2015,220000,38000,Petrol
127,Beat,Chevrolet,2015,150000,30000,Petrol
128,City 1.5,Honda,2010,285000,35000,Petrol
129,EcoSport Trend,Ford,2016,830000,24330,Diesel
130,i20 Asta,Hyundai,2009,210000,65480,Petrol
131,Suzuki Swift,Maruti,2013,340000,41000,Petrol
132,Indica V2,Tata,2006,90000,20000,Petrol
133,Motors Ambassador,Hindustan,2000,70000,200000,Diesel
134,Corolla Altis,Toyota,2010,289999,70000,Petrol
135,Corolla Altis,Toyota,2012,349999,59000,Petrol
136,Innova 2.5,Toyota,2012,849999,99000,Diesel
137,Jetta Highline,Volkswagen,2014,749999,46000,Diesel
138,Polo Comfortline,Volkswagen,2015,399999,2800,Petrol
139,Polo,Volkswagen,2014,274999,32000,Petrol
140,Scorpio,Mahindra,2015,984999,22000,Diesel
141,Duster,Renault,2014,449999,50000,Diesel
142,Amaze,Honda,2015,344999,22000,Petrol
143,Sunny,Nissan,2012,224999,45000,Petrol
144,Elite i20,Hyundai,2018,599999,21000,Petrol
145,Kwid,Renault,2016,244999,11000,Petrol
146,Duster,Renault,2013,399999,41000,Diesel
147,EcoSport,Ford,2017,489999,39000,Petrol
148,Duster,Renault,2014,474999,50000,Diesel
149,Scorpio VLX,Mahindra,2011,499999,66000,Diesel
150,Suzuki Alto,Maruti,2018,310000,3000,Petrol
151,Spark LT,Chevrolet,2010,85000,45000,Petrol
152,Redi GO,Datsun,2016,245000,7000,Petrol
153,Suzuki Swift,Maruti,2010,189500,38500,Diesel
154,Punto Emotion,Fiat,2012,169500,37200,Diesel
155,Suzuki Swift,Maruti,2010,159500,43200,Diesel
156,Etios GD,Toyota,2013,275000,24800,Petrol
157,i20 Sportz,Hyundai,2014,370000,60000,Diesel
158,i10 Sportz,Hyundai,2010,168000,45872,Petrol
159,Beat LT,Chevrolet,2011,150000,40000,Diesel
160,Beat LS,Chevrolet,2011,145000,45000,Diesel
161,Beat LT,Chevrolet,2012,98500,38000,Diesel
162,Scorpio VLX,Mahindra,2014,699000,50000,Diesel
163,Indigo CS,Tata,2011,85000,11400,Diesel
164,Corolla Altis,Toyota,2015,575000,42000,Petrol
165,City 1.5,Honda,2014,549000,39000,Petrol
166,Suzuki Swift,Maruti,2011,209000,47000,Diesel
167,Eon Era,Hyundai,2013,185000,27000,Petrol
168,Scorpio S10,Mahindra,2015,900000,97200,Diesel
169,XUV500,Mahindra,2014,699999,52000,Diesel
170,Brio,Honda,2012,224999,30000,Petrol
171,Fiesta,Ford,2011,274999,55000,Diesel
172,Amaze,Honda,2013,284999,46000,Diesel
173,City,Honda,2015,599999,30000,Diesel
174,Suzuki Wagon,Maruti,2012,199999,44000,Petrol
175,City,Honda,2014,544999,45000,Diesel
176,i20,Hyundai,2009,199000,31000,Petrol
177,Indigo eCS,Tata,2016,320000,175430,Diesel
178,Fluidic Verna,Hyundai,2015,540000,38000,Diesel
179,Quanto C8,Mahindra,2013,340000,37000,Diesel
180,Petra ELX,Fiat,2008,75000,65000,Petrol
181,Fabia 1.2L,Skoda,2011,159500,38200,Diesel
182,Cooper S,Mini,2013,1891111,13000,Petrol
183,Santro Xing,Hyundai,2005,49000,7500,Petrol
184,Suzuki Ciaz,Maruti,2016,700000,3350,Petrol
185,Suzuki Zen,Maruti,2000,55000,60000,Petrol
186,City,Honda,2015,448999,54000,Petrol
187,Creta 1.6,Hyundai,2017,895000,32000,Petrol
188,Scorpio SLX,Mahindra,2007,355000,75000,Diesel
189,Scorpio SLE,Mahindra,2012,565000,62000,Diesel
190,Innova 2.5,Toyota,2006,365000,73000,Diesel
191,Suzuki Alto,Maruti,2011,145000,41000,Petrol
192,Suzuki Wagon,Maruti,2011,210000,35000,Petrol
193,Nano Cx,Tata,2013,40000,2200,Petrol
194,Suzuki Alto,Maruti,2013,125000,39000,Petrol
195,Suzuki Wagon,Maruti,2009,135000,45000,Petrol
196,Suzuki Swift,Maruti,2006,135000,45000,Petrol
197,Sumo Victa,Tata,2012,285000,65000,Diesel
198,Suzuki Wagon,Maruti,2010,145000,54870,Petrol
199,Suzuki Alto,Maruti,2010,135000,34580,Petrol
200,Passat Diesel,Volkswagen,2009,450000,97000,Diesel
201,Scala RxL,Renault,2015,375000,25000,Diesel
202,Quanto C8,Mahindra,2013,375000,20000,Diesel
203,Grand i10,Hyundai,2014,365000,20000,Petrol
204,i20 Active,Hyundai,2015,500000,18000,Petrol
205,Xylo E4,Mahindra,2012,400000,35000,Diesel
206,Jeep MM,Mahindra,2019,390000,60,Diesel
207,Duster 110PS,Renault,2012,501000,35000,Diesel
208,Bolero SLE,Mahindra,2013,330000,80200,Diesel
209,Motors Force,Force,2015,580000,3200,Diesel
210,Suzuki SX4,Maruti,2012,265000,46000,Diesel
211,Jeep CL550,Mahindra,2019,379000,0,Diesel
212,Suzuki Alto,Maruti,2015,219000,5000,Petrol
213,Jeep CL550,Mahindra,2018,385000,588,Diesel
214,Etios,Toyota,2011,275000,36000,Diesel
215,Polo,Volkswagen,2015,330000,38000,Diesel
216,City ZX,Honda,2008,110000,45000,Petrol
217,Suzuki Wagon,Maruti,2006,80000,71200,Petrol
218,City VX,Honda,2016,519000,52000,Diesel
219,Thar CRDe,Mahindra,2016,730000,29000,Diesel
220,Pajero Sport,Mitsubishi,2015,1475000,47000,Diesel
221,A4 1.8,Audi,2009,699000,47000,Petrol
222,Benz GLA,Mercedes,2015,2000000,20000,Diesel
223,Rover Freelander,Land,2015,2100000,30000,Diesel
224,Kwid RXT,Renault,2017,340000,5000,Petrol
225,Aria Pleasure,Tata,2014,390000,35000,Diesel
226,Benz B,Mercedes,2014,1400000,31000,Petrol
227,GO T,Datsun,2016,245000,7000,Petrol
228,Indigo eCS,Tata,2016,320000,175430,Diesel
229,Indigo eCS,Tata,2016,320000,175400,Diesel
230,Jazz VX,Honda,2016,450000,41000,Petrol
231,Amaze 1.2,Honda,2014,311000,33000,Petrol
232,Amaze,Honda,2013,284999,46000,Diesel
233,City,Honda,2012,399999,45000,Petrol
234,City,Honda,2015,599999,39000,Diesel
235,Amaze,Honda,2015,344999,22000,Petrol
236,A4 1.8,Audi,2009,699000,47000,Petrol
237,Motors Force,Force,2015,580000,3200,Diesel
238,Scorpio S4,Mahindra,2015,855000,30000,Diesel
239,i20 Active,Hyundai,2015,535000,37000,Diesel
240,Cooper S,Mini,2013,1891111,13000,Petrol
241,Suzuki Ciaz,Maruti,2017,699000,14000,Petrol
242,Tavera Neo,Chevrolet,2013,375000,55000,Diesel
243,Amaze,Honda,2013,284999,46000,Diesel
244,Eon Sportz,Hyundai,2012,178000,30000,Petrol
245,Sumo Gold,Tata,2013,300000,50000,Diesel
246,Suzuki Wagon,Maruti,2003,90000,45000,Petrol
247,Suzuki Esteem,Maruti,2006,95000,45000,Petrol
248,Suzuki Eeco,Maruti,2015,255000,9300,Petrol
249,Enjoy 1.4,Chevrolet,2013,245000,55000,Diesel
250,i20 Asta,Hyundai,2012,329500,36200,Diesel
251,Figo Diesel,Ford,2014,195000,50000,Diesel
252,Suzuki Eeco,Maruti,2015,251111,55000,Petrol
253,Suzuki Ertiga,Maruti,2014,569999,45000,Petrol
254,Suzuki Esteem,Maruti,2007,69999,51000,Petrol
255,Suzuki Ritz,Maruti,2014,299999,19000,Petrol
256,Suzuki Dzire,Maruti,2009,220000,46000,Petrol
257,Suzuki Ritz,Maruti,2013,399999,33000,Diesel
258,Suzuki SX4,Maruti,2010,249999,36000,Petrol
259,Suzuki Wagon,Maruti,2015,289999,22000,Petrol
260,Cooper S,Mini,2013,1891111,13500,Petrol
261,Terrano XL,Nissan,2015,499999,60000,Diesel
262,Duster 85,Renault,2013,489999,27000,Diesel
263,Duster 85,Renault,2014,489999,59000,Diesel
264,Duster 85,Renault,2015,549999,19000,Diesel
265,Suzuki Dzire,Maruti,2013,380000,30000,Petrol
266,Kwid RXT,Renault,2018,325000,15000,Petrol
267,Suzuki Maruti,Maruti,2003,57000,56758,Petrol
268,Kwid 1.0,Renault,2018,349999,10000,Petrol
269,Lodgy 85,Renault,2018,689999,20000,Diesel
270,Scala RxL,Renault,2014,349999,49000,Diesel
271,Grand i10,Hyundai,2014,410000,41000,Petrol
272,Suzuki Swift,Maruti,2011,225000,45000,Petrol
273,Beat LS,Chevrolet,2010,120000,43000,Petrol
274,Indigo eCS,Tata,2016,320000,175430,Diesel
275,Santro Xing,Hyundai,2000,59000,56450,Petrol
276,Fluidic Verna,Hyundai,2015,540000,38000,Diesel
277,Beat LS,Chevrolet,2010,80000,56000,Petrol
278,Quanto C8,Mahindra,2013,340000,37000,Diesel
279,Petra ELX,Fiat,2008,75000,65000,Petrol
280,Beat LS,Chevrolet,2015,220000,32700,Petrol
281,Fabia 1.2L,Skoda,2011,159500,38200,Diesel
282,EcoSport Titanium,Ford,2016,599000,30000,Diesel
283,Accent GLX,Hyundai,2006,80000,56000,Petrol
284,TUV300 T4,Mahindra,2016,675000,9000,Diesel
285,Cooper S,Mini,2013,1891111,13000,Petrol
286,Cooper S,Mini,2013,1891111,13000,Petrol
287,Indica V2,Tata,2008,150000,11000,Petrol
288,Cooper S,Mini,2013,1891111,13000,Petrol
289,Indigo CS,Tata,2009,72500,46000,Diesel
290,Suzuki Swift,Maruti,2019,610000,73,Petrol
291,Scorpio VLX,Mahindra,2004,230000,160000,Diesel
292,Accord,Honda,2009,175000,58559,Petrol
293,Scorpio S4,Mahindra,2015,855000,30000,Diesel
294,Tavera Neo,Chevrolet,2013,375000,55000,Diesel
295,EcoSport Titanium,Ford,2014,520000,57000,Diesel
296,Suzuki Ertiga,Maruti,2015,524999,50000,Diesel
297,Amaze,Honda,2014,299999,37000,Petrol
298,Suzuki Dzire,Maruti,2012,299999,40000,Petrol
299,City,Honda,2011,284999,55000,Petrol
300,Scorpio 2.6,Mahindra,2007,220000,170000,Diesel
301,Suzuki Dzire,Maruti,2014,424999,55000,Diesel
302,City,Honda,2015,644999,39000,Petrol
303,Mobilio,Honda,2014,399999,44000,Petrol
304,Corolla Altis,Toyota,2009,199999,65000,Petrol
305,City,Honda,2014,584999,39000,Petrol
306,Laura,Skoda,2012,349999,44000,Diesel
307,Duster,Renault,2015,449999,49000,Diesel
308,Suzuki Ertiga,Maruti,2018,799999,9000,Diesel
309,Suzuki Dzire,Maruti,2015,444999,45000,Diesel
310,XUV500,Mahindra,2014,649999,47000,Diesel
311,Verna Fluidic,Hyundai,2012,444999,40000,Diesel
312,Suzuki Vitara,Maruti,2016,689999,29000,Diesel
313,Suzuki Wagon,Maruti,2016,344999,15000,Petrol
314,Scorpio,Mahindra,2015,944999,45000,Diesel
315,Amaze,Honda,2014,274999,35000,Petrol
316,XUV500,Mahindra,2013,689999,80000,Diesel
317,Scorpio,Mahindra,2013,574999,68000,Diesel
318,Laura,Skoda,2013,374999,50000,Diesel
319,Polo,Volkswagen,2010,199999,60000,Diesel
320,Elite i20,Hyundai,2016,549999,9000,Petrol
321,Manza Aura,Tata,2012,130000,72000,Diesel
322,Sail UVA,Chevrolet,2013,210000,60000,Petrol
323,Duster 110,Renault,2012,501000,38000,Diesel
324,Verna Fluidic,Hyundai,2013,401000,45000,Diesel
325,A4 2.0,Audi,2012,1350000,40000,Diesel
326,Elantra SX,Hyundai,2013,600000,20000,Petrol
327,Scorpio VLX,Mahindra,2013,610000,35000,Diesel
328,KUV100 K8,Mahindra,2016,400000,20000,Diesel
329,Scala RxL,Renault,2015,375000,25000,Diesel
330,Quanto C8,Mahindra,2013,375000,20000,Diesel
331,Grand i10,Hyundai,2014,365000,20000,Petrol
332,i20 Active,Hyundai,2015,500000,18000,Petrol
333,Xylo E4,Mahindra,2012,400000,35000,Diesel
334,Grand i10,Hyundai,2017,524999,6821,Petrol
335,i20,Hyundai,2014,449999,23000,Petrol
336,Eon,Hyundai,2014,174999,14000,Petrol
337,i10,Hyundai,2012,244999,38000,Petrol
338,i20 Active,Hyundai,2015,574999,35000,Diesel
339,Redi GO,Datsun,2017,244999,22000,Petrol
340,Etios Liva,Toyota,2011,239999,41000,Petrol
341,Accent,Hyundai,2010,99999,45000,Petrol
342,Verna,Hyundai,2014,489999,44000,Diesel
343,Suzuki Swift,Maruti,2013,324999,45000,Diesel
344,Fortuner,Toyota,2011,1074999,52000,Diesel
345,i10 Sportz,Hyundai,2012,230000,34000,Petrol
346,Bolero Power,Mahindra,2018,699000,1800,Diesel
347,XUV500,Mahindra,2015,1000000,15000,Diesel
348,City 1.5,Honda,2010,240000,400000,Petrol
349,Spark LT,Chevrolet,2009,110000,44000,Petrol
350,Jeep MM,Mahindra,2019,390000,60,Diesel
351,Duster 110PS,Renault,2012,501000,35000,Diesel
352,XUV500,Mahindra,2016,1130000,72000,Diesel
353,Indigo eCS,Tata,2014,250000,40000,Diesel
354,Bolero SLE,Mahindra,2013,330000,80200,Diesel
355,Motors Force,Force,2015,580000,3200,Diesel
356,Rapid Elegance,Skoda,2013,340000,48000,Diesel
357,Vista Quadrajet,Tata,2011,120000,90000,Diesel
358,Suzuki Alto,Maruti,2015,265000,12000,Petrol
359,Suzuki SX4,Maruti,2012,265000,46000,Diesel
360,Suzuki Zen,Maruti,2003,85000,69900,Petrol
361,Jeep CL550,Mahindra,2019,379000,0,Diesel
362,i10 Magna,Hyundai,2011,175000,45000,Petrol
363,Suzuki Alto,Maruti,2015,219000,5000,Petrol
364,Suzuki Swift,Maruti,2016,350000,166000,Diesel
365,City ZX,Honda,2008,149000,42000,Petrol
366,Jeep CL550,Mahindra,2018,385000,588,Diesel
367,Jeep MM,Mahindra,2006,425000,122,Diesel
368,Beat Diesel,Chevrolet,2017,150000,62000,Diesel
369,City 1.5,Honda,2010,225000,70000,Petrol
370,Verna 1.4,Hyundai,2014,375000,36000,Petrol
371,Innova 2.5,Toyota,2012,770000,0,Diesel
372,Suzuki Maruti,Maruti,1995,30000,55000,Petrol
373,Etios,Toyota,2011,275000,36000,Diesel
374,Polo,Volkswagen,2015,330000,38000,Diesel
375,Suzuki Swift,Maruti,2014,335000,55000,Diesel
376,Elite i20,Hyundai,2015,450000,20000,Diesel
377,Suzuki Swift,Maruti,2012,225000,40000,Petrol
378,Suzuki Versa,Maruti,2004,80000,50000,Petrol
379,Indigo LX,Tata,2016,130000,104000,Diesel
380,Vento Konekt,Volkswagen,2011,245000,65000,Diesel
381,Benz C,Mercedes,2002,399000,41000,Petrol
382,Suzuki Ertiga,Maruti,2013,450000,90000,Diesel
383,City,Honda,2000,65000,80000,Petrol
384,Santro Xing,Hyundai,2006,75000,46000,Petrol
385,Suzuki Omni,Maruti,2001,70000,70000,Petrol
386,Sonata Transform,Hyundai,2017,190000,36469,Diesel
387,Elite i20,Hyundai,2018,600000,7800,Petrol
388,Vento Konekt,Volkswagen,2011,245000,65000,Diesel
389,Suzuki Alto,Maruti,2017,240000,60000,Petrol
390,Suzuki Alto,Maruti,2011,155000,32000,Petrol
391,Jazz S,Honda,2009,169999,24695,Petrol
392,Grand i10,Hyundai,2017,450000,15141,Petrol
393,Suzuki Zen,Maruti,2001,40000,40000,Petrol
394,Scorpio W,Mahindra,2012,165000,65000,Diesel
395,Suzuki Alto,Maruti,2014,270000,22000,Petrol
396,Grand i10,Hyundai,2016,280000,59910,Diesel
397,XUV500 W8,Mahindra,2012,560000,100000,Diesel
398,Creta 1.6,Hyundai,2016,950000,25000,Petrol
399,i20 Magna,Hyundai,2013,310000,35000,Petrol
400,Duster 85,Renault,2015,715000,65000,Diesel
401,Grand i10,Hyundai,2014,340000,35000,Petrol
402,Brio V,Honda,2012,235000,33000,Petrol
403,TUV300 T4,Mahindra,2017,610000,68000,Diesel
404,Spark LS,Chevrolet,2010,95000,23000,Petrol
405,TUV300 T8,Mahindra,2018,1000000,4500,Diesel
406,Suzuki Swift,Maruti,2015,220000,129000,Diesel
407,X Trail,Nissan,2019,1200000,300,Diesel
408,Suzuki Alto,Maruti,2015,230000,5000,Petrol
409,Ikon 1.3,Ford,2001,45000,65000,Petrol
410,Fortuner 3.0,Toyota,2010,940000,131000,Diesel
411,Manza ELAN,Tata,2010,155555,111111,Petrol
412,Benz A,Mercedes,2013,1500000,14000,Petrol
413,Beat LS,Chevrolet,2016,210000,22000,Diesel
414,EcoSport Trend,Ford,2013,495000,38000,Diesel
415,Indigo LS,Tata,2016,125000,70000,Diesel
416,i20 Magna,Hyundai,2010,195000,36000,Petrol
417,Vento Highline,Volkswagen,2015,550000,34000,Diesel
418,Kwid RXT,Renault,2015,270000,43000,Petrol
419,EcoSport Titanium,Ford,2014,500000,40000,Diesel
420,Amaze 1.5,Honda,2016,240000,160000,Diesel
421,Verna 1.6,Hyundai,2017,800000,12000,Petrol
422,5 Series,BMW,2011,1299000,49000,Diesel
423,Superb 1.8,Skoda,2011,530000,68000,Petrol
424,Q3 2.0,Audi,2013,1499000,37000,Diesel
425,Bolero DI,Mahindra,2012,220000,59466,Diesel
426,Scorpio S10,Mahindra,2015,900000,97200,Diesel
427,Figo Duratorq,Ford,2012,250000,99000,Diesel
428,Suzuki Wagon,Maruti,2018,395000,25500,Petrol
429,Logan Diesel,Mahindra,2009,130000,66000,Petrol
430,Nano GenX,Tata,2010,32000,44005,Petrol
431,TUV300 T4,Mahindra,2016,540000,35000,Diesel
432,TUV300 T4,Mahindra,2016,540000,35000,Diesel
433,Elite i20,Hyundai,2015,405000,28000,Petrol
434,Elite i20,Hyundai,2015,400000,30000,Petrol
435,City SV,Honda,2017,760000,4000,Petrol
436,Suzuki Baleno,Maruti,2016,500000,28000,Petrol
437,Figo Petrol,Ford,2011,175000,75000,Petrol
438,Scorpio S10,Mahindra,2015,900000,97200,Diesel
439,City,Honda,2017,750000,3000,Petrol
440,Elite i20,Hyundai,2015,419000,20000,Petrol
441,Suzuki Versa,Maruti,2004,90000,50000,Petrol
442,Eon Era,Hyundai,2018,140000,2110,Petrol
443,Pajero Sport,Mitsubishi,2015,1540000,43222,Petrol
444,i10 Magna,Hyundai,2008,275000,100200,Petrol
445,Corolla H2,Toyota,2003,150000,100000,Petrol
446,Suzuki Swift,Maruti,2011,230000,65,Petrol
447,Indigo CS,Tata,2015,123000,100000,Diesel
448,Scorpio S10,Mahindra,2015,900000,97200,Diesel
449,Scorpio S10,Mahindra,2015,900000,97200,Diesel
450,Xcent Base,Hyundai,2016,300000,140000,Diesel
451,City,Honda,2015,499999,55000,Petrol
452,Accent Executive,Hyundai,2009,165000,48000,Petrol
453,Suzuki Baleno,Maruti,2016,498000,22000,Petrol
454,Zest XE,Tata,2018,480000,103553,Diesel
455,Suzuki Dzire,Maruti,2017,488000,80000,Diesel
456,Sumo Gold,Tata,2014,250000,99000,Diesel
457,Corolla Altis,Toyota,2010,220000,58000,Petrol
458,Suzuki Eeco,Maruti,2013,290000,70000,LPG
459,Fortuner 3.0,Toyota,2015,1525000,120000,Diesel
460,XUV500 W6,Mahindra,2013,548900,49800,Diesel
461,Tigor Revotron,Tata,2019,650000,100,Diesel
462,Suzuki 800,Maruti,2001,55000,81876,Petrol
463,Suzuki Ertiga,Maruti,2015,550000,75000,Petrol
464,Suzuki Versa,Maruti,2004,90000,50000,Petrol
465,Mobilio S,Honda,2014,399000,44000,Diesel
466,Suzuki Ertiga,Maruti,2016,730000,55000,Diesel
467,Suzuki Vitara,Maruti,2017,725000,36000,Diesel
468,Verna 1.6,Hyundai,2016,195000,56000,Diesel
469,Suzuki Swift,Maruti,2007,130000,62000,Petrol
470,Fortuner 3.0,Toyota,2015,1525000,120000,Diesel
471,Suzuki Omni,Maruti,2014,190000,6020,Petrol
472,Amaze,Honda,2013,250000,55700,Diesel
473,Indica,Tata,2005,80000,42000,Petrol
474,Santro Xing,Hyundai,2003,120000,50000,Petrol
475,Suzuki Zen,Maruti,2010,149000,35000,Petrol
476,Suzuki Wagon,Maruti,2014,250000,18500,Petrol
477,Suzuki Wagon,Maruti,2007,120000,7000,Petrol
478,Brio VX,Honda,2017,450000,11000,Petrol
479,Suzuki Zen,Maruti,2003,99999,53000,Petrol
480,Suzuki Zen,Maruti,2008,135000,23000,Petrol
481,Suzuki Wagon,Maruti,2016,225000,35500,Diesel
482,Suzuki Alto,Maruti,2010,99000,22134,Petrol
483,Kwid RXT,Renault,2019,370000,1000,Petrol
484,Nano Lx,Tata,2010,52000,9000,Petrol
485,XE XE,Jaguar,2016,2800000,8500,Petrol
486,Eon Magna,Hyundai,2014,190000,35000,Petrol
487,City 1.5,Honda,2014,499000,22000,Petrol
